"","CollarID","AnimalID","Deployment_start","Lat_Y","Long_X","Collar_Type","Temp_C","FixType","Deployment_end"
"1","30102","M1718H20",2018-04-09 03:00:25,59.12396,-158.7113,"GPS",7,"val. GPS-3D",2019-05-22 19:00:19
"2","30103","M1718H10",2018-04-05 07:00:15,59.04011,-158.46463,"GPS",1,"val. GPS-3D",2019-05-23 23:00:28
"3","30104","M1718H11",2018-04-08 01:00:38,59.1627,-158.49798,"GPS",13,"val. GPS-3D",2019-05-22 23:00:55
"4","30105","M1718H06",2018-04-05 07:00:15,59.04017,-158.46462,"GPS",0,"val. GPS-3D",2019-05-23 23:00:23
"5","30894","M1718H07",2018-04-05 07:00:14,59.04011,-158.46466,"GPS",0,"val. GPS-3D",2019-05-23 21:00:23
"6","30926","M1718H02",2018-04-05 07:00:14,59.04016,-158.46471,"GPS",1,"val. GPS-3D",2019-05-22 19:00:46
"7","30927","M1718H13",2018-04-08 03:00:21,59.10484,-158.96323,"GPS",11,"val. GPS-3D",2019-05-23 19:00:25
"8","30928","M1718H08",2018-04-05 07:00:15,59.04017,-158.46465,"GPS",0,"val. GPS-3D",2019-05-23 01:00:18
"9","30929","M1718H15",2018-04-09 01:00:17,59.19006,-159.10531,"GPS",19,"val. GPS-3D",2019-05-23 23:00:17
"10","30930","M1718H12",2018-04-08 03:00:45,59.179,-158.51246,"GPS",9,"val. GPS-3D",2019-05-23 23:00:19
"11","30931","M1718H01",2018-04-05 07:01:21,59.04008,-158.46468,"GPS",0,"val. GPS-3D",2019-05-22 21:00:30
"12","30932","M1718H18",2018-04-09 03:00:20,59.08047,-158.89227,"GPS",9,"val. GPS-3D",2019-05-23 01:00:19
"13","30933","M1718H14",2018-04-08 05:00:38,59.18003,-159.0961,"GPS",3,"val. GPS-3D",2019-05-23 23:00:16
"14","30934","M1718H16",2018-04-09 01:00:15,59.2185,-159.12917,"GPS",14,"val. GPS-3D",2019-05-23 23:00:18
"15","30935","M1718H04",2018-04-05 07:00:20,59.04013,-158.46461,"GPS",0,"val. GPS-3D",2019-05-23 23:00:38
"16","30936","M1718H05",2018-04-05 07:00:13,59.04007,-158.46477,"GPS",0,"val. GPS-3D",2019-05-23 01:00:25
"17","30937","M1718H03",2018-04-05 07:00:17,59.04018,-158.4646,"GPS",0,"val. GPS-3D",2019-05-23 23:00:26
"18","30938","M1718H19",2018-04-09 03:01:48,59.1448,-158.71083,"GPS",7,"val. GPS-3D",2019-05-23 23:00:46
"19","30939","M1718H17",2018-04-09 01:00:32,59.14966,-159.0715,"GPS",17,"val. GPS-3D",2019-05-23 23:00:38
"20","30940","M1718H09",2018-04-05 07:00:26,59.04018,-158.46462,"GPS",0,"val. GPS-3D",2019-05-23 23:00:38
